Page ID,Section name,H1,Current URL,Current page path,New page path,Hierarchy level,Page type,Content section,Queries,Level of factual updates,HR owner (information provider and approver),Sitemap queries for HR,Additional migration instructions,Page template,Hide from nav,CMS preview,CMS edit
,"Support, health and wellbeing",,https://www.york.ac.uk/admin/hr/browse/health-and-well-being/support-health-wellbeing,/browse/health-and-well-being/support-health-wellbeing,,,,06 My employment (health and wellbeing),Deleting,,Suzy Shelton,Delete and link to staff support pages directly from (no need to fthe extra step) https://www.york.ac.uk/admin/hr/browse/health-and-well-being,,Browse listing page,FALSE,#N/A,#N/A
,Health and wellbeing,,https://www.york.ac.uk/admin/hr/browse/health-and-well-being/well@york,/browse/health-and-well-being/well@york,,,,06 My employment (health and wellbeing),Deleting,,Suzy Shelton,RK confirmed page retired,,Not Found,FALSE,#N/A,#N/A
2.5,Employee benefits,,https://www.york.ac.uk/admin/hr/browse/employee-benefits,/browse/employee-benefits,/hr/employment/benefits,3,Information page,07 My employment (benefits),None,Fine as is,Louise Abrahams,"Merged three pages into one to avoid extra steps (removing:
https://www.york.ac.uk/admin/hr/employee-benefits/selection/introduction/ and https://www.york.ac.uk/admin/hr/browse/employee-benefits/selection)",,Browse listing page,FALSE,Preview,Edit
3,Policies and guidance,,https://www.york.ac.uk/admin/hr/browse/policies,/browse/policies,/hr/policies,2,Repository,08 Policies and guidance,None,Fine as is,Laura McIlroy,,"Rebuild as a repository page with a Google Sheet filterable table. Current browse index pages to be deleted and used for the topic categories in the Sheet:
/browse/policies/employee-relations
/browse/policies/equality-diversity
/browse/policies/health-well-being
/browse/policies/hr-procedures
/browse/policies/information
/browse/policies/learning-development
/browse/policies/leave-and-absence
/browse/policies/new-starters
/browse/policies/overseas
/browse/policies/pay-and-grading
/browse/policies/pensions
/browse/policies/hr-procedures
/browse/policies/recruitment


Also include a link to: https://www.york.ac.uk/staff/research/governance/research-policies/research-misconduct/ under the procedures category.

We will also two links to the sub pages which are moving under policies:
 - Trade unions and employee relations
 - Working in the UK",Custom,FALSE,Preview,Edit
,Disclosure and Barring Service checks,,https://www.york.ac.uk/admin/hr/policies/appointments-contracts-leavers/dbs-checks/,/admin/hr/policies/appointments-contracts-leavers/dbs-checks/,/hr/policies/dbs-checks/,3,Information page,08 Policies and guidance,None,Major rewrite required,Matt Ramm,,,answer-template-2017,TRUE,Preview,Edit
,Overseas employment policy,,https://www.york.ac.uk/admin/hr/policies/appointments-contracts-leavers/employment-of-staff-overseas/example-of-costs/,/admin/hr/policies/appointments-contracts-leavers/employment-of-staff-overseas/example-of-costs/,,,Multistep guide,08 Policies and guidance,Deleting,,Laura McIlroy,RK confirmed replaced by https://www.york.ac.uk/admin/hr/policies/recruitment/overseas-employment/ in March 2025.,Nav will be hidden. Requires manual links to other pages in the section (eg table of contents in intro or prev/next signposts).,multiPage-template-2017,TRUE,#N/A,#N/A
,Overseas employment policy,,https://www.york.ac.uk/admin/hr/policies/appointments-contracts-leavers/employment-of-staff-overseas/options-for-employing-overseas/,/admin/hr/policies/appointments-contracts-leavers/employment-of-staff-overseas/options-for-employing-overseas/,,,Multistep guide,08 Policies and guidance,Deleting,,Laura McIlroy,RK confirmed replaced by https://www.york.ac.uk/admin/hr/policies/recruitment/overseas-employment/ in March 2025.,Nav will be hidden. Requires manual links to other pages in the section (eg table of contents in intro or prev/next signposts).,multiPage-template-2017,TRUE,#N/A,#N/A
,Overseas employment policy,,https://www.york.ac.uk/admin/hr/policies/appointments-contracts-leavers/employment-of-staff-overseas/overview/,/admin/hr/policies/appointments-contracts-leavers/employment-of-staff-overseas/overview/,,,Numbered policy page,08 Policies and guidance,Deleting,,Laura McIlroy,RK confirmed replaced by https://www.york.ac.uk/admin/hr/policies/recruitment/overseas-employment/ in March 2025.,,multiPage-template-2017,TRUE,#N/A,#N/A
,Overseas employment policy,,https://www.york.ac.uk/admin/hr/policies/appointments-contracts-leavers/employment-of-staff-overseas/points-to-consider/,/admin/hr/policies/appointments-contracts-leavers/employment-of-staff-overseas/points-to-consider/,,,"Multistep guide, Numbered policy page",08 Policies and guidance,Deleting,,Laura McIlroy,RK confirmed replaced by https://www.york.ac.uk/admin/hr/policies/recruitment/overseas-employment/ in March 2025.,Nav will be hidden. Requires manual links to other pages in the section (eg table of contents in intro or prev/next signposts).,multiPage-template-2017,TRUE,#N/A,#N/A
,Overseas employment policy,,https://www.york.ac.uk/admin/hr/policies/appointments-contracts-leavers/employment-of-staff-overseas/process/,/admin/hr/policies/appointments-contracts-leavers/employment-of-staff-overseas/process/,,,Multistep guide,08 Policies and guidance,Deleting,,Laura McIlroy,RK confirmed replaced by https://www.york.ac.uk/admin/hr/policies/recruitment/overseas-employment/ in March 2025.,Nav will be hidden. Requires manual links to other pages in the section (eg table of contents in intro or prev/next signposts).,multiPage-template-2017,TRUE,#N/A,#N/A
,Overseas employment policy,,https://www.york.ac.uk/admin/hr/policies/appointments-contracts-leavers/employment-of-staff-overseas/webinar/,/admin/hr/policies/appointments-contracts-leavers/employment-of-staff-overseas/webinar/,,,Multistep guide,08 Policies and guidance,Deleting,,Laura McIlroy,RK confirmed replaced by https://www.york.ac.uk/admin/hr/policies/recruitment/overseas-employment/ in March 2025.,Nav will be hidden. Requires manual links to other pages in the section (eg table of contents in intro or prev/next signposts).,multiPage-template-2017,TRUE,#N/A,#N/A
1,"National minimum wage guidance on interns, volunteers and work experience",,https://www.york.ac.uk/admin/hr/policies/appointments-contracts-leavers/employment-status-interns-work-experience-etc/introduction/,/admin/hr/policies/appointments-contracts-leavers/employment-status-interns-work-experience-etc/introduction/,/hr/policies/employment-status-interns-work-experience-etc/,3,Multistep parent,08 Policies and guidance,None,Fine as is,Louise Abrahams,,Nav will be hidden. Requires manual links to other pages in the section (eg table of contents in intro or prev/next signposts).,multiPage-template-2017,TRUE,Preview,Edit
4,Examples of worker types and status,,https://www.york.ac.uk/admin/hr/policies/appointments-contracts-leavers/employment-status-interns-work-experience-etc/examples/,/admin/hr/policies/appointments-contracts-leavers/employment-status-interns-work-experience-etc/examples/,/hr/policies/employment-status-interns-work-experience-etc/examples/,4,Multistep guide,08 Policies and guidance,None,Fine as is,Louise Abrahams,,Nav will be hidden. Requires manual links to other pages in the section (eg table of contents in intro or prev/next signposts).,multiPage-template-2017,TRUE,Preview,Edit
2,Employment status and guidance,,https://www.york.ac.uk/admin/hr/policies/appointments-contracts-leavers/employment-status-interns-work-experience-etc/guidance/,/admin/hr/policies/appointments-contracts-leavers/employment-status-interns-work-experience-etc/guidance/,/hr/policies/employment-status-interns-work-experience-etc/guidance/,4,Multistep guide,08 Policies and guidance,None,Fine as is,Louise Abrahams,,Nav will be hidden. Requires manual links to other pages in the section (eg table of contents in intro or prev/next signposts).,multiPage-template-2017,TRUE,Preview,Edit
3,Implications - National Minimum Wage (NMW) legislation,,https://www.york.ac.uk/admin/hr/policies/appointments-contracts-leavers/employment-status-interns-work-experience-etc/implications-of-status/,/admin/hr/policies/appointments-contracts-leavers/employment-status-interns-work-experience-etc/implications-of-status/,/hr/policies/employment-status-interns-work-experience-etc/implications-of-status/,4,Multistep guide,08 Policies and guidance,None,Fine as is,Louise Abrahams,,Nav will be hidden. Requires manual links to other pages in the section (eg table of contents in intro or prev/next signposts).,multiPage-template-2017,TRUE,Preview,Edit
6,References,,https://www.york.ac.uk/admin/hr/policies/appointments-contracts-leavers/employment-status-interns-work-experience-etc/references/,/admin/hr/policies/appointments-contracts-leavers/employment-status-interns-work-experience-etc/references/,/hr/policies/employment-status-interns-work-experience-etc/references/,4,Multistep guide,08 Policies and guidance,None,Fine as is,Louise Abrahams,,Nav will be hidden. Requires manual links to other pages in the section (eg table of contents in intro or prev/next signposts).,multiPage-template-2017,TRUE,Preview,Edit
5,Scholarships and bursaries,,https://www.york.ac.uk/admin/hr/policies/appointments-contracts-leavers/employment-status-interns-work-experience-etc/scholarships-and-bursaries/,/admin/hr/policies/appointments-contracts-leavers/employment-status-interns-work-experience-etc/scholarships-and-bursaries/,/hr/policies/employment-status-interns-work-experience-etc/scholarships-and-bursaries/,4,Multistep guide,08 Policies and guidance,None,Fine as is,Louise Abrahams,,Nav will be hidden. Requires manual links to other pages in the section (eg table of contents in intro or prev/next signposts).,multiPage-template-2017,TRUE,Preview,Edit
,Exit questionnaires,,https://www.york.ac.uk/admin/hr/policies/appointments-contracts-leavers/exit-questionnaires/,/admin/hr/policies/appointments-contracts-leavers/exit-questionnaires/,/hr/policies/exit-questionnaires/,3,Information page,08 Policies and guidance,None,Fine as is,Laura McIlroy,,,answer-template-2017,TRUE,Preview,Edit
,Fixed-term contracts,,https://www.york.ac.uk/admin/hr/policies/appointments-contracts-leavers/fixed-term-contracts/,/admin/hr/policies/appointments-contracts-leavers/fixed-term-contracts/,/hr/policies/fixed-term-contracts/,3,Numbered policy page,08 Policies and guidance,None,Fine as is,Laura McIlroy,,,answer-template-2017,TRUE,Preview,Edit
,Job share,,https://www.york.ac.uk/admin/hr/policies/appointments-contracts-leavers/job-share/,/admin/hr/policies/appointments-contracts-leavers/job-share/,/hr/policies/job-share/,3,Numbered policy page,08 Policies and guidance,None,Fine as is,Laura McIlroy,,,answer-template-2017,TRUE,Preview,Edit
,Leavers policy,,https://www.york.ac.uk/admin/hr/policies/appointments-contracts-leavers/leavers-policy/,/admin/hr/policies/appointments-contracts-leavers/leavers-policy/,/hr/policies/leavers-policy/,3,Numbered policy page,08 Policies and guidance,None,Fine as is,Laura McIlroy,,,answer-template-2017,TRUE,Preview,Edit
,Named researchers,,https://www.york.ac.uk/admin/hr/policies/appointments-contracts-leavers/named-researchers/,/admin/hr/policies/appointments-contracts-leavers/named-researchers/,/hr/policies/named-researchers/,3,Information page,08 Policies and guidance,None,Fine as is,Laura McIlroy,,,answer-template-2017,TRUE,Preview,Edit
,NHS Research passports,,https://www.york.ac.uk/admin/hr/policies/appointments-contracts-leavers/nhs-research-passports/,/admin/hr/policies/appointments-contracts-leavers/nhs-research-passports/,/hr/policies/nhs-research-passports/,3,Information page,08 Policies and guidance,None,Minor updates,Matt Ramm,,,answer-template-2017,TRUE,Preview,Edit
,Fee reduction for staff with children who have overseas status,Undergraduate student tuition fee reduction for staff with children who have overseas/international status,https://www.york.ac.uk/admin/hr/policies/benefits/fee-reduction/,/admin/hr/policies/benefits/fee-reduction/,/hr/policies/fee-reduction/,3,Numbered policy page,08 Policies and guidance,None,Fine as is,Laura McIlroy,,,multiPage-template-2017,TRUE,Preview,Edit
,Disclosure of information,,https://www.york.ac.uk/admin/hr/policies/employee-relations/disclosure-of-information/,/admin/hr/policies/employee-relations/disclosure-of-information/,/hr/policies/disclosure-of-information/,3,Numbered policy page,08 Policies and guidance,None,Fine as is,Laura McIlroy,,,answer-template-2017,TRUE,Preview,Edit
,Management of industrial action,,https://www.york.ac.uk/admin/hr/policies/employee-relations/industrial-action/,/admin/hr/policies/employee-relations/industrial-action/,/hr/policies/industrial-action/,3,Numbered policy page,08 Policies and guidance,None,Fine as is,Laura McIlroy,,,answer-template-2017,TRUE,Preview,Edit
,Employee relations structure,,https://www.york.ac.uk/admin/hr/policies/employee-relations/structure/,/admin/hr/policies/employee-relations/structure/,/hr/policies/structure/,3,Numbered policy page,08 Policies and guidance,None,Fine as is,Laura McIlroy,,,answer-template-2017,TRUE,Preview,Edit
1,Time off and facilities for trade union duties and activities,,https://www.york.ac.uk/admin/hr/policies/employee-relations/tu-time-off/policy/,/admin/hr/policies/employee-relations/tu-time-off/policy/,/hr/policies/tu-time-off/,3,Multistep parent,08 Policies and guidance,None,Fine as is,Laura McIlroy,,Nav will be hidden. Requires manual links to other pages in the section (eg table of contents in intro or prev/next signposts).,multiPage-template-2017,TRUE,Preview,Edit
2,Procedure,,https://www.york.ac.uk/admin/hr/policies/employee-relations/tu-time-off/procedure/,/admin/hr/policies/employee-relations/tu-time-off/procedure/,/hr/policies/tu-time-off/procedure/,4,"Multistep guide, Numbered policy page",08 Policies and guidance,None,Fine as is,Laura McIlroy,,Nav will be hidden. Requires manual links to other pages in the section (eg table of contents in intro or prev/next signposts).,multiPage-template-2017,TRUE,Preview,Edit
3,Trade Unions duties,,https://www.york.ac.uk/admin/hr/policies/employee-relations/tu-time-off/appendix-a/,/admin/hr/policies/employee-relations/tu-time-off/appendix-a/,/hr/policies/tu-time-off/appendix-a/,4,Multistep guide,08 Policies and guidance,None,Fine as is,Laura McIlroy,,Nav will be hidden. Requires manual links to other pages in the section (eg table of contents in intro or prev/next signposts).,multiPage-template-2017,TRUE,Preview,Edit
4,"Health, Safety and Welfare Representative duties",,https://www.york.ac.uk/admin/hr/policies/employee-relations/tu-time-off/appendix-b/,/admin/hr/policies/employee-relations/tu-time-off/appendix-b/,/hr/policies/tu-time-off/appendix-b/,4,Multistep guide,08 Policies and guidance,None,Fine as is,Laura McIlroy,,Nav will be hidden. Requires manual links to other pages in the section (eg table of contents in intro or prev/next signposts).,multiPage-template-2017,TRUE,Preview,Edit
6,Union Learning Representative duties,,https://www.york.ac.uk/admin/hr/policies/employee-relations/tu-time-off/appendix-c/,/admin/hr/policies/employee-relations/tu-time-off/appendix-c/,/hr/policies/tu-time-off/appendix-c/,4,Multistep guide,08 Policies and guidance,None,Fine as is,Laura McIlroy,,Nav will be hidden. Requires manual links to other pages in the section (eg table of contents in intro or prev/next signposts).,multiPage-template-2017,TRUE,Preview,Edit
